,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
1,d715fbc6ea0551f8,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8839470337904494,1.0,0.0,1.0,0.0,0.7137334480595154
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6007080202797834,1.0,0.0,1.0,0.0,0.6252212563374323
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6662987287191553,1.0,0.0,1.0,0.0,0.6457183527247361
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.42192951112358384,1.0,0.0,1.0,0.0,0.5693529722261199
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8759434016307265,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8044761956470813,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.22239253244087262,1.0,0.0,1.0,1.0,0.6319976663877727
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.262270892865367,1.0,0.0,1.0,1.0,0.6444596540204272
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.001349586866204929,1.0,0.0,1.0,1.0,0.562921745895689
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.04495397104316393,1.0,0.0,1.0,1.0,0.5765481159509886
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.42575751061485306,1.0,1.0,1.0,0.0,0.6955492220671415
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.43676472807001526,1.0,1.0,1.0,0.0,0.6989889775218798
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6990688597929564,1.0,1.0,1.0,0.0,0.7809590186852988
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6218906657429945,1.0,1.0,1.0,1.0,0.8818408330446857
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.1979389032575369,1.0,1.0,1.0,0.0,0.6243559072679803
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.41139635495227844,1.0,1.0,1.0,0.0,0.6910613609225871
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.4375
25,extended_pdm_score_stage_two,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7633891223297676,1.0,1.0,1.0,0.7740735513787584,0.8978182946503972
26,extended_pdm_score_combined,True,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7633891223297676,1.0,1.0,1.0,0.7740735513787584,0.4374998791460456
