,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
1,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8416865536167557,1.0,0.0,1.0,0.0,0.7005270480052361
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7641829128992302,1.0,0.0,1.0,0.0,0.6763071602810095
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7516536799386979,1.0,0.0,1.0,0.0,0.6723917749808431
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4970900093881678,1.0,0.0,1.0,0.0,0.5928406279338024
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.7929289546811639,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.9557291334561234,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.23049676786898585,1.0,0.0,1.0,1.0,0.6345302399590581
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.2467241027701097,1.0,0.0,1.0,1.0,0.6396012821156593
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3821204298736099,1.0,0.0,1.0,1.0,0.6819126343355031
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.04363320882072516,1.0,0.0,1.0,1.0,0.5761353777564766
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.593973496739183,1.0,1.0,1.0,1.0,0.8731167177309946
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.48778627782203116,1.0,1.0,1.0,0.0,0.7149332118193847
15,0a8cbe192f3d3dfba,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.762832901603655,1.0,1.0,1.0,0.0,0.8008852817511423
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19681671116073274,1.0,1.0,1.0,0.0,0.624005222237729
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3363840336664926,1.0,1.0,1.0,0.0,0.6676200105207789
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
25,extended_pdm_score_stage_two,True,,,,,,,,,,0.99999999999999,1.0,1.0,1.0,0.8812205230694896,0.99999999999999,1.0,1.0,1.3194099841837613e-13,0.8378814134592232
26,extended_pdm_score_combined,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.99999999999999,1.0,1.0,1.0,0.8812205230694896,0.99999999999999,1.0,1.0,1.3194099841837613e-13,0.7331462367768203
