,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
1,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9268194456177985,1.0,0.0,1.0,0.0,0.7271310767555621
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7502833712180949,1.0,0.0,1.0,0.0,0.6719635535056546
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5518132827545024,1.0,0.0,1.0,0.0,0.609941650860782
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.657254087617382,1.0,0.0,1.0,0.0,0.6428919023804318
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.7451779591128438,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.7646926734430677,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.17060711971237152,1.0,0.0,1.0,1.0,0.6158147249101161
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3818216244472978,1.0,0.0,1.0,1.0,0.6818192576397806
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5914817009537909,1.0,0.0,1.0,0.0,0.6223380315480597
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.04314631710209463,1.0,0.0,1.0,0.0,0.45098322409440456
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.46252381158121575,1.0,1.0,1.0,0.0,0.70703869111913
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.49863490467266997,1.0,1.0,1.0,0.0,0.7183234077102094
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.745428697849207,1.0,1.0,1.0,0.0,0.7954464680778772
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5474072448402459,1.0,1.0,1.0,1.0,0.8585647640125769
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19366737189827934,1.0,1.0,1.0,0.0,0.6230210537182124
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4583291932267024,1.0,1.0,1.0,0.0,0.7057278728833445
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
25,extended_pdm_score_stage_two,True,,,,,,,,,,0.9545454545454546,0.9545454545454546,1.0,1.0,0.6226410157849873,0.9545454545454546,0.7727272727272727,1.0,0.5900318361974478,0.7321762009473639
26,extended_pdm_score_combined,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9545454545454546,0.9545454545454546,1.0,1.0,0.6226410157849873,0.9545454545454546,0.7727272727272727,1.0,0.5900318361974478,0.6406541758289435
