,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
1,d715fbc6ea0551f8,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8684557218229323,1.0,0.0,1.0,0.0,0.7088924130696663
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.628497088094028,1.0,0.0,1.0,0.0,0.6339053400293837
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6913122513472933,1.0,0.0,1.0,0.0,0.6535350785460292
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6916301463610868,1.0,0.0,1.0,0.0,0.6536344207378396
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8763838500003288,1.0,0.0,1.0,1.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8196963903501655,1.0,0.0,1.0,1.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3925066710461989,1.0,0.0,1.0,1.0,0.6851583347019372
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.2593441353541076,1.0,0.0,1.0,1.0,0.6435450422981586
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.002608156123353178,1.0,0.0,1.0,1.0,0.5633150487885479
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.04363672039470601,1.0,0.0,1.0,1.0,0.5761364751233456
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.43036644003665386,1.0,1.0,1.0,0.0,0.6969895125114544
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5225937659035681,1.0,1.0,1.0,0.0,0.725810551844865
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6789156985445552,1.0,1.0,1.0,0.0,0.7746611557951735
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7040987849770639,1.0,1.0,1.0,0.0,0.7825308703053324
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19786409388168694,1.0,1.0,1.0,0.0,0.6243325293380272
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.37464526540880033,1.0,1.0,1.0,0.0,0.6795766454402501
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
25,extended_pdm_score_stage_two,True,,,,,,,,,,0.9090909090909092,0.9090909090909092,1.0,1.0,0.6446615990748422,0.9090909090909092,0.5454545454545455,1.0,0.36363636363636365,0.5978192462968187
26,extended_pdm_score_combined,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9090909090909092,0.9090909090909092,1.0,1.0,0.6446615990748422,0.9090909090909092,0.5454545454545455,1.0,0.36363636363636365,0.0
