,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
1,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8523712625973977,1.0,0.0,1.0,0.0,0.7038660195616868
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9771996382562318,1.0,0.0,1.0,0.0,0.7428748869550724
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6666092915159599,1.0,0.0,1.0,0.0,0.6458154035987375
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8690729921521904,1.0,0.0,1.0,0.0,0.7090853100475595
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.7659275477553739,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.2981883589327256,1.0,0.0,1.0,1.0,0.6556838621664768
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.22737960897024134,1.0,0.0,1.0,1.0,0.6335561278032005
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5362102545606263,1.0,0.0,1.0,0.0,0.6050657045501957
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.04363320882072516,1.0,0.0,1.0,0.0,0.4511353777564766
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.42492584956660473,1.0,1.0,1.0,0.0,0.695289327989564
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4235710230748327,1.0,1.0,1.0,0.0,0.6948659447108853
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.884850888754686,1.0,1.0,1.0,0.0,0.8390159027358394
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6408851487176822,1.0,1.0,1.0,1.0,0.8877766089742757
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19667526698933277,1.0,1.0,1.0,0.0,0.6239610209341665
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.41441251585195776,1.0,1.0,1.0,0.0,0.6920039112037368
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
25,extended_pdm_score_stage_two,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8123574525474293,1.0,1.0,1.0,0.9642893598211983,0.9368978738987215
26,extended_pdm_score_combined,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8123574525474293,1.0,1.0,1.0,0.9642893598211983,0.8197856396613813
