,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
1,d715fbc6ea0551f8,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7581597185777234,1.0,0.0,1.0,0.0,0.6744249120555386
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4837001930395235,1.0,0.0,1.0,0.0,0.5886563103248511
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9341644248410176,1.0,0.0,1.0,0.0,0.729426382762818
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8018825558763824,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.6772571063481525,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.35114009448658545,1.0,0.0,1.0,1.0,0.672231279527058
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3954016649823555,1.0,0.0,1.0,1.0,0.6860630203069861
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6310550682899067,1.0,0.0,1.0,0.0,0.6347047088405958
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.043634965142426374,1.0,0.0,1.0,0.0,0.45113592660700824
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.40822124832639967,1.0,1.0,1.0,0.0,0.6900691401019999
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4589146002235322,1.0,1.0,1.0,1.0,0.8309108125698538
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5906996206689298,1.0,1.0,1.0,1.0,0.8720936314590406
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6900285616284999,1.0,1.0,1.0,1.0,0.9031339255089063
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19725682086010224,1.0,1.0,1.0,0.0,0.6241427565187819
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4882672886911015,1.0,1.0,1.0,0.0,0.7150835277159693
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
25,extended_pdm_score_stage_two,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8437515981839687,1.0,1.0,1.0,0.993741663379379,0.9503900823549127
26,extended_pdm_score_combined,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8437515981839687,1.0,1.0,1.0,0.993741663379379,0.0
