k,seed,scene_count,candidate_count,top1_epdms,best_fixed_candidate,best_fixed_epdms,token_oracle_proxy_at_k_score,token_oracle_proxy_gap,oracle_winner_not_top1_rate
4,0,24,4,0.0,3,0.362017664334727,0.6614652223499332,0.6614652223499332,0.4166666666666667
4,1,24,4,0.0,1,0.43749999956884855,0.6848735570405592,0.6848735570405592,0.375
4,2,24,4,0.0,0,0.0,0.629534020991222,0.629534020991222,0.375
4,3,24,4,0.0,0,0.0,0.6130598606451155,0.6130598606451155,0.3333333333333333
8,0,24,8,0.0,2,0.8006622399329324,0.6957756672143193,0.6957756672143193,0.5
8,1,24,8,0.0,5,0.4382760993163024,0.7017222312894399,0.7017222312894399,0.5
8,2,24,8,0.0,7,0.43749997283325076,0.6597571743139133,0.6597571743139133,0.3333333333333333
8,3,24,8,0.0,7,0.737776780688703,0.6983386783391312,0.6983386783391312,0.5
