k,scene_count,candidate_count,top1_epdms,best_fixed_candidate,best_fixed_epdms,token_oracle_proxy_at_k_score,token_oracle_proxy_gap
1,24,1,0.0,0,0.0,0.6032668181140225,0.6032668181140225
2,24,2,0.0,0,0.0,0.6040582465269713,0.6040582465269713
4,24,4,0.0,3,0.362017664334727,0.6614652223499332,0.6614652223499332
8,24,8,0.0,2,0.8006622399329324,0.6957756672143193,0.6957756672143193
16,24,16,0.0,7,0.6279456024225333,0.6972563295941822,0.6972563295941822
32,24,32,0.0,13,0.8320703862421261,0.7079398095074682,0.7079398095074682
