,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
1,d715fbc6ea0551f8,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6547279122777562,1.0,0.0,1.0,0.0,0.6421024725867988
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4713989732024323,1.0,0.0,1.0,0.0,0.5848121791257601
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5585716006441143,1.0,0.0,1.0,0.0,0.6120536252012857
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.9783529174275675,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8994236864182271,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.39284706433711974,1.0,0.0,1.0,1.0,0.68526470760535
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.22198338930693567,1.0,0.0,1.0,1.0,0.6318698091584174
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.001432533643358083,1.0,0.0,1.0,1.0,0.5629476667635493
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.043420747509253364,1.0,0.0,1.0,1.0,0.5760689835966417
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.45708172718846923,1.0,1.0,1.0,0.0,0.7053380397463966
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.382758358227619,1.0,1.0,1.0,0.0,0.682111986946131
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7847702381686242,1.0,1.0,1.0,0.0,0.8077406994276951
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7525170557807022,1.0,1.0,1.0,1.0,0.9226615799314695
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.19687230440891887,1.0,1.0,1.0,0.0,0.6240225951277871
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.37905412457486715,1.0,1.0,1.0,0.0,0.680954413929646
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
25,extended_pdm_score_stage_two,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.872122108864102,1.0,1.0,1.0,0.9889356611673192,0.9586551166659469
26,extended_pdm_score_combined,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.872122108864102,1.0,1.0,1.0,0.9889356611673192,0.0
