,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
1,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6933991707884237,1.0,0.0,1.0,0.0,0.6541872408713825
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8313466838346603,1.0,0.0,1.0,0.0,0.6972958386983313
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7240065078208214,1.0,0.0,1.0,0.0,0.6637520336940067
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7143680229784257,1.0,0.0,1.0,0.0,0.6607400071807581
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8726894802063503,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.9457580344142217,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.237433005043328,1.0,0.0,1.0,0.0,0.51169781407604
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4679661925663898,1.0,0.0,1.0,0.0,0.5837394351769969
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.39087982592021203,1.0,0.0,1.0,1.0,0.6846499456000663
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.043146317410178,1.0,0.0,1.0,1.0,0.5759832241906806
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.765236925908537,1.0,1.0,1.0,0.0,0.8016365393464178
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5438250485053144,1.0,1.0,1.0,1.0,0.8574453276579108
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5972726751536598,1.0,1.0,1.0,1.0,0.8741477109855187
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8968343296973847,1.0,1.0,1.0,0.0,0.8427607280304328
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.1950280796399246,1.0,1.0,1.0,0.0,0.6234462748874765
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.3589674890533887,1.0,1.0,1.0,0.0,0.6746773403291839
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
25,extended_pdm_score_stage_two,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9472652089095911,1.0,1.0,1.0,1.664605463568895e-13,0.858520377784268
26,extended_pdm_score_combined,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9472652089095911,1.0,1.0,1.0,1.664605463568895e-13,0.7512053305612345
