,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
1,d715fbc6ea0551f8,True,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
2,e1f6c044f4235462,True,1.0,1.0,1.0,1.0,0.49570004956943087,1.0,1.0,1.0,1.0,,,,,,,,,,0.8424062654904472
3,197f2dea642850e7,True,1.0,1.0,1.0,1.0,0.49870221098739365,1.0,1.0,1.0,1.0,,,,,,,,,,0.8433444409335605
4,43162b00fe4550b8,True,1.0,0.0,1.0,1.0,0.9536727522017062,0.0,1.0,1.0,0.0,,,,,,,,,,0.0
5,697882c22eb65ca7,True,1.0,0.0,1.0,1.0,0.65281069902605,1.0,1.0,1.0,0.0,,,,,,,,,,0.0
6,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7087427800375969,1.0,0.0,1.0,0.0,0.6589821187617491
7,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7780360848413024,1.0,0.0,1.0,0.0,0.680636276512907
8,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7699729731284658,1.0,0.0,1.0,0.0,0.6781165541026456
9,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7108528646957005,1.0,0.0,1.0,0.0,0.6596415202174064
10,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.9502862065409098,1.0,0.0,1.0,0.0,0.0
11,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.8301952120201339,1.0,0.0,1.0,0.0,0.0
12,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.12073158871540696,1.0,0.0,1.0,1.0,0.6002286214735647
13,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.16926465636082058,1.0,0.0,1.0,1.0,0.6153952051127565
14,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5324973739145127,1.0,0.0,1.0,0.0,0.6039054293482853
15,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.043634964715975624,1.0,0.0,1.0,0.0,0.4511359264737424
16,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.42091709718372744,1.0,1.0,1.0,0.0,0.6940365928699148
18,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.47945688304502504,1.0,1.0,1.0,0.0,0.7123302759515704
19,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7544765591252512,1.0,1.0,1.0,0.0,0.798273924726641
20,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
21,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
22,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
23,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7657078525380332,1.0,1.0,1.0,0.0,0.8017837039181354
24,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.20643356987475125,1.0,1.0,1.0,0.0,0.6270104905858598
25,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.43445383224886003,1.0,1.0,1.0,0.0,0.6982668225777687
26,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
27,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
28,e3be3af3b3213f65e,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
29,db81ab220d6667266,True,,,,,,,,,,0.0,1.0,1.0,1.0,0.5749331960299395,0.0,0.0,1.0,0.0,0.0
30,86cf77209e00173f3,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.41801070045965727,1.0,0.0,1.0,0.0,0.5681283438936429
31,1e33e12832b3a171e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.803427094938464,1.0,0.0,1.0,0.0,0.68857096716827
32,7a574ea5511afe40d,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7688282224076282,1.0,0.0,1.0,0.0,0.6777588195023838
33,2fb3e2d50e23c577b,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4184830144647923,1.0,0.0,1.0,0.0,0.5682759420202476
34,7e1f129d7bf7e7065,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.52708128481639,1.0,1.0,1.0,0.0,0.7272129015051219
35,bbc7311ff7a7c3e18,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.41988811638711343,1.0,1.0,1.0,0.0,0.693715036370973
36,50da2cb15a6c805e6,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
37,594f782a45aefdedc,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
38,81742324c5b46cc6f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.022364794601511934,1.0,0.0,1.0,1.0,0.5694889983129725
39,0eea2180fbf7c0949,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.030569005047451442,1.0,0.0,1.0,1.0,0.5720528140773286
40,ceb646b2fba95ebf9,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5838050794003824,1.0,0.0,1.0,1.0,0.7449390873126195
41,d4bddc4246b475541,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.4687660388619814,1.0,0.0,1.0,1.0,0.7089893871443692
42,256ffb5e85a521e98,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9183692135593134,1.0,0.0,1.0,0.0,0.7244903792372854
43,38fd2f329eb063f83,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.8203247520785423,1.0,0.0,1.0,0.0,0.6938514850245445
44,c0581b1e56946d6c1,True,,,,,,,,,,0.0,1.0,1.0,1.0,0.5799684866397475,0.0,0.0,1.0,1.0,0.0
45,4ff48fa4e19774be7,True,,,,,,,,,,0.0,1.0,1.0,1.0,0.5023508991128626,0.0,0.0,1.0,1.0,0.0
46,735bf126af1875fe2,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
47,a43ef1df0d28a30db,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
48,053755e0b8f0dd052,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4375
49,230446b36041db9de,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75
50,1bb0ace72a38d2201,True,,,,,,,,,,0.5,0.0,1.0,1.0,0.5883333290465819,0.0,1.0,1.0,0.0,0.0
51,e6319072517f4b675,True,,,,,,,,,,0.5,0.0,1.0,1.0,0.7579613232926306,0.0,1.0,1.0,0.0,0.0
52,2e5eb89b3ec98ed08,True,,,,,,,,,,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
53,3428d82c17d7e5501,True,,,,,,,,,,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
54,335b43f5320efd73d,True,,,,,,,,,,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
55,77591ae74db6e241c,True,,,,,,,,,,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
56,16149296d3a6ee433,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6315568077212658,1.0,1.0,1.0,0.0,0.7598615024128955
57,02a940e77418c19bc,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.7132496401912306,1.0,1.0,1.0,0.0,0.0
58,76e0516677156bad8,True,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
59,428b6ffe51af1390c,True,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
60,f24aff9d7884c81d2,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4375
61,523e6115068b06a33,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
62,13d3b12e20ec70ec5,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6901219771414342,1.0,1.0,0.0,0.0,0.6531631178566981
63,b83ed44f0a4151018,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
64,extended_pdm_score_stage_one,True,1.0,0.3333333333333333,1.0,1.0,0.7668142852974302,0.8333333333333334,1.0,1.0,0.3333333333333333,,,,,,,,,,0.28095845107066797
65,extended_pdm_score_stage_two,True,,,,,,,,,,0.8647097685864318,1.0,1.0,1.0,0.789750856485672,0.6980431019197652,0.6666666676312838,0.6666666666666666,0.16083302800388233,0.5925169324417763
