,token,valid,no_at_fault_collisions_stage_one,drivable_area_compliance_stage_one,driving_direction_compliance_stage_one,traffic_light_compliance_stage_one,ego_progress_stage_one,time_to_collision_within_bound_stage_one,lane_keeping_stage_one,history_comfort_stage_one,two_frame_extended_comfort_stage_one,no_at_fault_collisions_stage_two,drivable_area_compliance_stage_two,driving_direction_compliance_stage_two,traffic_light_compliance_stage_two,ego_progress_stage_two,time_to_collision_within_bound_stage_two,lane_keeping_stage_two,history_comfort_stage_two,two_frame_extended_comfort_stage_two,score
0,4a919f7ea2f65200,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
1,d715fbc6ea0551f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
2,5421fa2f2e2b4cb13,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7259804302950668,1.0,0.0,1.0,0.0,0.6643688844672084
3,5634addd2134d1453,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.9560620946818094,1.0,0.0,1.0,0.0,0.7362694045880654
4,13aeb83dad95704fa,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.6387243995949535,1.0,0.0,1.0,0.0,0.637101374873423
5,7d4dd35efebf5aa8f,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5854003316280177,1.0,0.0,1.0,0.0,0.6204376036337556
6,46ccc7e9752595671,True,,,,,,,,,,1.0,0.0,1.0,1.0,0.7659181555206539,1.0,0.0,1.0,0.0,0.0
7,b7f53c6ea01b7cbc9,True,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
8,c864abb5afff1f7f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.21144786192952994,1.0,0.0,1.0,1.0,0.6285774568529781
9,6b912a3796564dd7e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.1436491455055847,1.0,0.0,1.0,1.0,0.6073903579704952
10,6b5b128424d5357b0,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.49913160528715395,1.0,0.0,1.0,1.0,0.7184786266522356
11,3b9a4be29bdd2c8ae,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.044957482339207856,1.0,0.0,1.0,1.0,0.5765492132310024
12,7be779b9f100e6373,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
13,e2ea1000f4e2d0904,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7534825936980453,1.0,1.0,1.0,0.0,0.7979633105306392
14,0e55c21e09e86d8ba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.46284747780806657,1.0,1.0,1.0,1.0,0.8321398368150208
15,0a8cbe192f3d3dfba,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.5874184879351225,1.0,1.0,1.0,1.0,0.8710682774797258
16,778f661244251a842,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
17,18dbdfb5b9fe301f4,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
18,530edf0e35aa025b6,True,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,3dd919c5a93fd6754,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.521227202001819,1.0,1.0,1.0,1.0,0.8503835006255684
20,ea1bac206caf8d18e,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.1951996940356836,1.0,1.0,1.0,0.0,0.6234999043861511
21,3b8808368bea4771a,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.37562184463687576,1.0,1.0,1.0,0.0,0.6798818264490236
22,b4750fa326ea1085b,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
23,bba03402f6222135f,True,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
24,extended_pdm_score_stage_one,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,0.875
25,extended_pdm_score_stage_two,True,,,,,,,,,,1.0,1.0,1.0,1.0,0.7603155715708343,1.0,1.0,1.0,0.9977113642358408,0.9248125366453658
26,extended_pdm_score_combined,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7603155715708343,1.0,1.0,1.0,0.9977113642358408,0.8092109695646951
